source,file,indicator_code,indicator_name,unit,data_format,notes
FAO,Production_Crops_Livestock_E_Elements.csv,Production,Production,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Yield,Yield,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Milk Animals,Milk Animals,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Producing Animals/Slaughtered,Producing Animals/Slaughtered,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Elements.csv,Area harvested,Area harvested,,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Crops_Livestock_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
FAO,Production_Crops_Livestock_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Production_Crops_Livestock_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Production_Crops_Livestock_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Production_Indices_E_All_Data_(Normalized).csv,Gross Production Index Number (2014-2016 = 100),Gross Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 196 distinct items"
FAO,Production_Indices_E_All_Data_(Normalized).csv,Gross per capita Production Index Number (2014-2016 = 100),Gross per capita Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 196 distinct items"
FAO,Production_Indices_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area..."
FAO,Production_Indices_E_Elements.csv,Gross Production Index Number (2014-2016 = 100),Gross Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Indices_E_Elements.csv,Gross per capita Production Index Number (2014-2016 = 100),Gross per capita Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Production_Indices_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
FAO,Production_Indices_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Production_Indices_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Production_Indices_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Import quantity,Import quantity,t,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 604 distinct items"
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Export quantity,Export quantity,t,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 601 distinct items"
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Export value,Export value,1000 USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 615 distinct items"
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Import value,Import value,1000 USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 616 distinct items"
FAO,Trade_CropsLivestock_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area..."
FAO,Trade_CropsLivestock_E_Elements.csv,Import quantity,Import quantity,,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_CropsLivestock_E_Elements.csv,Export quantity,Export quantity,,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_CropsLivestock_E_Elements.csv,Export value,Export value,,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_CropsLivestock_E_Elements.csv,Import value,Import value,,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_CropsLivestock_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
FAO,Trade_CropsLivestock_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Trade_CropsLivestock_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Trade_CropsLivestock_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item..."
