source,file,indicator_code,indicator_name,unit,data_format,notes,name_lower
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_on_Goods_and_Services_VAT,Taxes_on_Goods_and_Services_VAT,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_on_goods_and_services_vat
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_on_Goods_and_Services_ow_Excises,Taxes_on_Goods_and_Services_ow_Excises,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_on_goods_and_services_ow_excises
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_on_International_Trade_Total,Taxes_on_International_Trade_Total,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_on_international_trade_total
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_on_International_Trade_ow_Import,Taxes_on_International_Trade_ow_Import,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_on_international_trade_ow_import
UNU-WIDER,UNUWIDERGRD_2025 - Merged,Taxes_on_International_Trade_ow_Export,Taxes_on_International_Trade_ow_Export,,wide,Sheet type: UNUWIDERGRD_2025::Merged,taxes_on_international_trade_ow_export
UNU-WIDER,UNUWIDERGRD_2025 - Merged,NonTax_Revenue_Total,NonTax_Revenue_Total,,wide,Sheet type: UNUWIDERGRD_2025::Merged,nontax_revenue_total
UNU-WIDER,UNUWIDERGRD_2025 - Merged,NonTax_Revenue_Resource_Component,NonTax_Revenue_Resource_Component,,wide,Sheet type: UNUWIDERGRD_2025::Merged,nontax_revenue_resource_component
UNU-WIDER,UNUWIDERGRD_2025 - Merged,NonTax_Revenue_NonResource_Component,NonTax_Revenue_NonResource_Component,,wide,Sheet type: UNUWIDERGRD_2025::Merged,nontax_revenue_nonresource_component
UNU-WIDER,UNUWIDERGRD_2025 - General,Database_source_Unnamed_1_level_1,Database_source_Unnamed_1_level_1,,wide,Sheet type: UNUWIDERGRD_2025::General,database_source_unnamed_1_level_1
UNU-WIDER,UNUWIDERGRD_2025 - General,GDP_LCU_mn_Unnamed_5_level_1,GDP_LCU_mn_Unnamed_5_level_1,,wide,Sheet type: UNUWIDERGRD_2025::General,gdp_lcu_mn_unnamed_5_level_1
